id,company,domain,industry,employees,revenue,hqcity,hqstate,hqcountry,comment
1,Gov,Gov.com,Major Pharmaceuticals,3783,24813025,Dallas,Texas,United States,Sample data generated on 06/16/2022
2,Bandcamp,,Major Banks,13280,31010877,Houston,Texas,United States,Sample data generated on 06/16/2022
3,Timesonline,Timesonline.com,Medical/Dental Instruments,27788,23417895,La Rochelle,Poitou-Charentes,France,Sample data generated on 06/16/2022
4,Google,Google.com,Water Supply,11871,30240337,Avignon,Provence-Alpes-Côte d'Azur,France,Sample data generated on 06/16/2022
5,Go,Go.com,Telecommunications Equipment,46019,2622232,Fort Worth,Texas,United States,Sample data generated on 06/16/2022
6,Fastcompany,Fastcompany.com,Major Pharmaceuticals,13952,,,,Germany,Sample data generated on 06/16/2022
7,Ca,Ca.com,Life Insurance,43819,31756720,Lakeland,Florida,United States,Sample data generated on 06/16/2022
8,Nifty,Nifty.com,Industrial Machinery/Components,7865,32208256,Roubaix,Nord-Pas-de-Calais,France,Sample data generated on 06/16/2022
9,Github,,Forest Products,49304,,,,United States,Sample data generated on 06/16/2022
10,House,House.com,n/a,20493,5764238,Soisy-sous-Montmorency,Île-de-France,France,Sample data generated on 06/16/2022
11,Paypal,Paypal.com,Electric Utilities: Central,35817,27177412,El Paso,Texas,United States,Sample data generated on 06/16/2022
12,Feedburner,Feedburner.com,n/a,2240,,,,France,Sample data generated on 06/16/2022
13,Zimbio,Zimbio.com,,,,,,Canada,Sample data generated on 06/16/2022
14,Umn,,n/a,40771,,,,Canada,Sample data generated on 06/16/2022
15,Mozilla,Mozilla.com,Major Pharmaceuticals,5494,,,,France,Sample data generated on 06/16/2022
16,Hao123,Hao123.com,Biotechnology: Biological Products (No Diagnostic Substances),18023,,,,France,Sample data generated on 06/16/2022
17,Com,Com.com,,,14646717,Wasquehal,Nord-Pas-de-Calais,France,Sample data generated on 06/16/2022
18,Dailymail,Dailymail.com,Telecommunications Equipment,6625,22913735,La Gacilly,Bretagne,France,Sample data generated on 06/16/2022
19,Dot,Dot.com,,,,,,Germany,Sample data generated on 06/16/2022
20,Ow,Ow.com,Telecommunications Equipment,33163,15537509,San Bernardino,California,United States,Sample data generated on 06/16/2022
21,Yale,,EDP Services,15658,28275976,Reston,Virginia,United States,Sample data generated on 06/16/2022
22,Ovh,,Major Pharmaceuticals,6255,,,,France,Sample data generated on 06/16/2022
23,Pbs,,Investment Bankers/Brokers/Service,29418,,,,Canada,Sample data generated on 06/16/2022
24,Mail,Mail.com,,,6258879,Versailles,Île-de-France,France,Sample data generated on 06/16/2022
25,Walmart,Walmart.com,Medical/Dental Instruments,48334,31473377,Paris 08,Île-de-France,France,Sample data generated on 06/16/2022
26,Cmu,Cmu.com,Biotechnology: Biological Products (No Diagnostic Substances),29608,28587665,Charlotte,North Carolina,United States,Sample data generated on 06/16/2022
27,Digg,,Engineering & Construction,1658,,,,France,Sample data generated on 06/16/2022
28,Drupal,Drupal.com,Semiconductors,10467,,,,France,Sample data generated on 06/16/2022
29,Alibaba,,Steel/Iron Ore,34204,21864683,Moncton,New Brunswick,Canada,Sample data generated on 06/16/2022
30,Nature,Nature.com,Other Specialty Stores,20293,,,,United States,Sample data generated on 06/16/2022
31,Youtu,Youtu.com,Metal Fabrications,33799,,,,United States,Sample data generated on 06/16/2022
32,Freewebs,Freewebs.com,Biotechnology: Commercial Physical & Biological Resarch,19823,,,,France,Sample data generated on 06/16/2022
33,Vinaora,Vinaora.com,,,,,,United States,Sample data generated on 06/16/2022
34,Zdnet,Zdnet.com,,,,,,France,Sample data generated on 06/16/2022
35,Eventbrite,,Major Banks,28194,17719824,Magrath,Alberta,Canada,Sample data generated on 06/16/2022
36,Senate,,Biotechnology: Laboratory Analytical Instruments,9334,,,,France,Sample data generated on 06/16/2022
37,Facebook,,,,19672798,Saint-Augustin-de-Desmaures,Québec,Canada,Sample data generated on 06/16/2022
38,Imgur,,Major Chemicals,8603,27171949,Provo,Utah,United States,Sample data generated on 06/16/2022
39,Creativecommons,Creativecommons.com,Electric Utilities: Central,10923,,,,France,Sample data generated on 06/16/2022
40,Imageshack,,n/a,7761,,,,United States,Sample data generated on 06/16/2022
41,Biglobe,,n/a,5114,,,,United States,Sample data generated on 06/16/2022
42,Squarespace,Squarespace.com,Computer Software: Prepackaged Software,9597,31879710,Nantes,Pays de la Loire,France,Sample data generated on 06/16/2022
43,Sciencedaily,,Computer Software: Prepackaged Software,43690,6615758,Mirabel,Québec,Canada,Sample data generated on 06/16/2022
44,Printfriendly,Printfriendly.com,n/a,7853,6869981,Midland,Texas,United States,Sample data generated on 06/16/2022
45,Gnu,Gnu.com,Natural Gas Distribution,18894,30164988,Peace River,Alberta,Canada,Sample data generated on 06/16/2022
46,Webnode,,,,7485732,Springfield,Virginia,United States,Sample data generated on 06/16/2022
47,About,About.com,Power Generation,39699,30805975,Tulsa,Oklahoma,United States,Sample data generated on 06/16/2022
48,Census,Census.com,n/a,43466,13941422,Aubenas,Rhône-Alpes,France,Sample data generated on 06/16/2022
49,Mysql,,,,6456812,Grenoble,Rhône-Alpes,France,Sample data generated on 06/16/2022
50,Livejournal,Livejournal.com,Major Banks,40461,,,,France,Sample data generated on 06/16/2022
51,Diigo,,Coal Mining,31401,,,,United States,Sample data generated on 06/16/2022
52,Bloglines,Bloglines.com,Telecommunications Equipment,4043,15280114,Nanterre,Île-de-France,France,Sample data generated on 06/16/2022
54,Twitter,Twitter.com,,,,,,France,Sample data generated on 06/16/2022
55,Bing,,Home Furnishings,22484,26999187,Levallois-Perret,Île-de-France,France,Sample data generated on 06/16/2022
56,Usatoday,Usatoday.com,Air Freight/Delivery Services,17114,18505678,Saint Paul,Minnesota,United States,Sample data generated on 06/16/2022
58,Sfgate,Sfgate.com,n/a,20825,,,,United Kingdom,Sample data generated on 06/16/2022
59,Earthlink,,n/a,12642,16021297,Montgomery,Alabama,United States,Sample data generated on 06/16/2022
60,Dagondesign,,Medical Specialities,14931,22684036,Thorold,Ontario,Canada,Sample data generated on 06/16/2022
61,Indiegogo,Indiegogo.com,Air Freight/Delivery Services,474,31086827,Beaverton,Oregon,United States,Sample data generated on 06/16/2022
62,Acquirethisname,,n/a,35274,7849911,Paris 07,Île-de-France,France,Sample data generated on 06/16/2022
63,Reddit,Reddit.com,Home Furnishings,30327,20641385,Annecy,Rhône-Alpes,France,Sample data generated on 06/16/2022
66,Princeton,,Apparel,14860,3400221,Chandler,Arizona,United States,Sample data generated on 06/16/2022
68,China,China.com,Agricultural Chemicals,45200,2175881,Ford,England,United Kingdom,Sample data generated on 06/16/2022
70,Opensource,Opensource.com,Plastic Products,19781,20104972,Marystown,Newfoundland and Labrador,Canada,Sample data generated on 06/16/2022
71,Mayoclinic,Mayoclinic.com,Advertising,31056,,,,Germany,Sample data generated on 06/16/2022
72,Dion,Dion.com,Medical Specialities,16488,21086677,Vannes,Bretagne,France,Sample data generated on 06/16/2022
73,Comcast,Comcast.com,Industrial Machinery/Components,31501,,,,Germany,Sample data generated on 06/16/2022
75,Vistaprint,,Natural Gas Distribution,45350,,,,France,Sample data generated on 06/16/2022
76,Utexas,Utexas.com,,,33556624,Angers,Pays de la Loire,France,Sample data generated on 06/16/2022
77,Skype,,Computer Software: Prepackaged Software,24209,7710432,Anmore,British Columbia,Canada,Sample data generated on 06/16/2022
78,Exblog,Exblog.com,Specialty Insurers,24185,,,,United States,Sample data generated on 06/16/2022
79,Psu,,,,8604793,Philadelphia,Pennsylvania,United States,Sample data generated on 06/16/2022
82,Nhs,,Major Pharmaceuticals,27752,12070220,La Rochelle,Poitou-Charentes,France,Sample data generated on 06/16/2022
83,Instagram,,,,29869455,Pittsburgh,Pennsylvania,United States,Sample data generated on 06/16/2022
85,Ucoz,,n/a,44478,,,,France,Sample data generated on 06/16/2022
88,Themeforest,,Natural Gas Distribution,29026,19275210,Paris 17,Île-de-France,France,Sample data generated on 06/16/2022
89,Sogou,Sogou.com,Semiconductors,49852,,,,Canada,Sample data generated on 06/16/2022
90,Delicious,,Medical/Dental Instruments,10190,,,,France,Sample data generated on 06/16/2022
91,Qq,Qq.com,n/a,35915,25613138,Mirecourt,Lorraine,France,Sample data generated on 06/16/2022
94,Omniture,,EDP Services,37708,,,,Canada,Sample data generated on 06/16/2022
95,Telegraph,,Real Estate Investment Trusts,3563,21013423,Santa Rosa,California,United States,Sample data generated on 06/16/2022
96,Liveinternet,,Oil & Gas Production,46734,,,,United States,Sample data generated on 06/16/2022
97,Elegantthemes,,Telecommunications Equipment,47741,29621383,Prince Rupert,British Columbia,Canada,Sample data generated on 06/16/2022
98,Globo,Globo.com,EDP Services,38365,,,,France,Sample data generated on 06/16/2022
99,Gmpg,Gmpg.com,Investment Managers,21561,12691149,Montauban,Midi-Pyrénées,France,Sample data generated on 06/16/2022
100,Purevolume,Purevolume.com,Major Chemicals,21261,7303300,Aix-en-Provence,Provence-Alpes-Côte d'Azur,France,Sample data generated on 06/16/2022
101,Technorati,Technorati.com,n/a,22144,31973485,New Haven,Connecticut,United States,Sample data generated on 06/16/2022
105,Barnesandnoble,Barnesandnoble.com,Business Services,32273,21199975,Port-de-Bouc,Provence-Alpes-Côte d'Azur,France,Sample data generated on 06/16/2022
106,Wikia,,Telecommunications Equipment,1062,27083325,Montbéliard,Franche-Comté,France,Sample data generated on 06/16/2022
108,Usda,,Computer Software: Prepackaged Software,19841,13057004,Leipzig,Sachsen,Germany,Sample data generated on 06/16/2022
109,Edublogs,Edublogs.com,Major Banks,48617,,,,Canada,Sample data generated on 06/16/2022
110,Bloomberg,Bloomberg.com,Medical/Dental Instruments,20710,15622160,Pau,Aquitaine,France,Sample data generated on 06/16/2022
114,Ox,Ox.com,,,27432964,San Diego,California,United States,Sample data generated on 06/16/2022
115,Hostgator,Hostgator.com,Consumer Specialties,9555,21167908,Mâcon,Bourgogne,France,Sample data generated on 06/16/2022
117,Cbsnews,,,,25863993,Rouen,Haute-Normandie,France,Sample data generated on 06/16/2022
118,Sun,Sun.com,n/a,2185,,,,United States,Sample data generated on 06/16/2022
121,Tripod,,Medical Specialities,45402,23632803,Belfort,Franche-Comté,France,Sample data generated on 06/16/2022
122,Irs,,,,,,,France,Sample data generated on 06/16/2022
123,Weibo,,Computer Software: Prepackaged Software,20718,,,,France,Sample data generated on 06/16/2022
